अंक	ə ŋ k
व्यर्थ	ʋ j ə ɾ t̪ʰ
व्यवसाय	ʋ j ə ʋ s ɑː j
व्यवस्था	ʋ j ə ʋ ə s t̪ʰ ɑː
व्यस्त	ʋ j ə s t̪
व्याकरण	ʋ j aː k ə r ə ɳ
व्याख्या	ʋ j ɑː kʰ j ɑː
व्याख्याता	ʋ j ɑː kʰ j ɑː t̪ ɑː
व्यापक	ʋ j ɑː p ə k
व्यापार	ʋ j ɑː p ɑː ɾ
व्यायाम	ʋ j ɑː j ɑː m
व्यावहारिक	ʋ j ɑː ʋ ɦ ɑː ɾ ɪ k
व्युत्पत्ति	ʋ j ʊ t̪ p ə t̪ t̪ iː
व्रत	ʋ ɾ ə t̪
व्लादिमीर	ʋ l ɑː d̪ ɪ m iː ɾ
व्लादिवोस्तोक	ʋ l ɑː d̪ ɪ ʋ oː s t̪ oː k
शक्ति	ʃ ə k t̪ iː
शक्ल	ʃ ə k l
शख्स	ʃ ə kʰ s
शख्सियत	ʃ ə kʰ s iː j ə t̪
शटर	ʃ ə ʈ ə ɾ
शतक	ʃ ə t̪ ə k
शताब्दी	ʃ ə t̪ ɑː b d̪ iː
शपथ	ʃ ə p ə t̪ʰ
शब्दावली	ʃ ə b d äː ʋ l iː
शमशेर	ʃ ə m ʃ eː ɾ
शमा	ʃ ə m ɑː
शरण	ʃ ə ɾ ə n
शराब	ʃ ə ɾ ɑː b
शरारत	ʃ ə ɾ ɑː ɾ ə t̪
शरियत	ʃ ə ɾ iː j ə t̪
शरीफ़	ʃ ə ɾ iː f
शरीर	ʃ ə ɾ iː ɾ
शर्मनाक	ʃ ə ɾ m n ɑː k
शलभ	ʃ ə l ə bʱ
शव	ʃ ə ʋ
शस्त्र	ʃ ə s t̪ ɾ
शहंशाह	ʃ ɛːʱ n ʃ ɑːʱ
शहद	ʃ ɛːʱ d̪
शहर	ʃ ɛːʱ ɾ
शहरी	ʃ ɛːʱ ɾ iː
शहादत	ʃ ə ɦ ɑː d̪ ə t̪
शहीद	ʃ ə ɦ iː d̪
शांतिपूर्ण	ʃ ɑː n t̪ ɪ p uː ɾ n
शादी	ʃ ɑː d̪ iː
शान	ʃ ɑː n
शान्ति	ʃ ɑː n t̪ iː
शाप	ʃ ɑː p
शाबाशी	ʃ ɑː b ɑː ʃ iː
शाम	ʃ ɑː m
शामियाना	ʃ ɑː m iː j ɑː n ɑː
शामिल	ʃ ɑː m ɪ l
शायरा	ʃ ɑː j ə ɾ ɑː
शारजाह	ʃ ɑː ɾ d͡ʒ ɑːʱ
शालीन	ʃ ɑː l iː n
शावक	ʃ ɑː ʋ ə k
शाश्वत	ʃ ɑː ʃ ʋ ə t̪
शासक	ʃ ɑː s ə k
शास्त्र	ʃ ɑː s t̪ ɾ
शाही	ʃ ɑː ɦ iː
शाहीन	ʃ ɑː ɦ iː n
शिकंजा	ʃ ɪ k ə ɲ d͡ʒ ɑː
शिकस्त	ʃ ɪ k ə s t̪
शिकार	ʃ ɪ k ɑː ɾ
शिकारी	ʃ ɪ k ɑː ɾ iː
शिक्षण	ʃ ɪ k ʃ ə n
शिक्षा	ʃ ɪ k ʃ ɑː
शिखर	ʃ ɪ kʰ ə ɾ
शिद्दत	ʃ ɪ d̪ d̪ ə t̪
शिमला	ʃ ɪ m l ɑː
शिल्प	ʃ ɪ l p
शिवलिंग	ʃ ɪ ʋ l ɪ ŋ ɡ
शिवालय	ʃ ɪ ʋ ɑː l ə j
शिविर	ʃ ɪ ʋ ɪ ɾ
शिष्य	ʃ ɪ ʃ j
शीघ्रता	ʃ iː ɡʱ ɾ ə t̪ ɑː
शीत	ʃ iː t̪
शीर्ष	ʃ iː ɾ ʃ
शीर्षक	ʃ iː ɾ ʃ ə k
शीशा	ʃ iː ʃ ɑː
शुक्रगुज़ार	ʃ ʊ k ɾ ə ɡ ʊ z ɑː ɾ
शुक्राणु	ʃ ʊ k ɾ ɑː n uː
शुक्रिया	ʃ ʊ k ɾ iː j ɑː
शुद्ध	ʃ ʊ d̪ d̪ʱ
शुभकामना	ʃ ʊ bʱ k ɑː m n ɑː
शुरु	ʃ ʊ ɾ uː
शुरुआती	ʃ ʊ ɾ ʊ ɑː t̪ iː
शुरू	ʃ ʊ ɾ uː
शुल्क	ʃ ʊ l k
शू	ʃ uː
शूटिंग	ʃ uː ʈ ɪ ŋ ɡ
शून्य	ʃ uː n j ə
शृंखला	ʃ ɾ ɪ ŋ kʰ l ɑː
शेरनी	ʃ eː ɾ n iː
शेष	ʃ eː ʃ
शैतान	ʃ ɛː t̪ ɑː n
शैली	ʃ ɛː l iː
शो	ʃ oː
शोध	ʃ oː d̪ʱ
शोर	ʃ oː ɾ
शोला	ʃ oː l ɑː
शोषण	ʃ oː ʃ ə n
शौकत	ʃ ɔː k ə t̪
शौर्य	ʃ ɔː ɾ j
श्मशान	ʃ m ə ʃ ɑː n
श्रद्धालु	ʃ ɾ ə d̪ d̪ʱ ɑː l uː
श्री	ʃ ɾ iː
श्रीनगर	ʃ ɾ iː n ə ɡ ə ɾ
श्रीफल	ʃ ɾ iː pʰ ə l
श्रीलंका	ʃ ɾ iː l ə ŋ k ɑː
श्रुति	ʃ ɾ ʊ t̪ iː
श्रेणी	ʃ ɾ eː n iː
श्रोता	ʃ ɾ oː t̪ ɑː
श्लोक	ʃ l oː k
श्वान	ʃ ʋ ɑː n
षष्ठी	ʃ ə ʃ ʈʰ iː
संकट	s ə ŋ k ə ʈ
संकल्प	s ə ŋ k ə l p
संकेत	s ə ŋ k eː t̪
संक्रांति	s ə ŋ k ɾ ɑː n t̪ iː
संक्रामक	s ə ŋ k ɾ ɑː m ə k
संक्षिप्त	s ə ŋ k ʃ ɪ p t̪
संख्या	s ə ŋ kʰ j ɑː
संग	s ə ŋ ɡ
संगठन	s ə ŋ ɡ ə ʈʰ ə n
संगम	s ə ŋ ɡ ə m
संगीत	s ə ŋ ɡ iː t̪
संगीन	s ə ŋ ɡ iː n
संग्राम	s ə ŋ ɡ ɾ ɑː m
संघ	s ə ŋ ɡʱ
संघीय	s ə ŋ ɡʱ iː j
संचार	s ə ɲ t͡ʃ ɑː ɾ
संज्ञा	s ə ɲ ɡ j ɑː
संत	s ə n t̪
संतरा	s ə n t̪ ɾ ɑː
संतान	s ə n t̪ ɑː n
संतोषी	s ə n t̪ oː ʃ iː
संदिग्ध	s ə n d̪ ɪ ɡ d̪ʱ
संदेह	s ə n d̪ eːʱ
संध्या	s ə n d̪ʱ j ɑː
संन्यास	s ə n n j ɑː s
संन्यासी	s ə n n j ɑː s iː
संपत्ति	s ə m p ə t̪ t̪ iː
संपदा	s ə m p ə d̪ ɑː
संपर्क	s ə m p ə ɾ k
संपादकीय	s ə m p ɑː d̪ ə k iː j
संप्रदाय	s ə m p ɾ ə d̪ ɑː j
संप्रभुता	s ə m p ɾ ə bʱ ʊ t̪ ɑː
संबंध	s ə m b ə n d̪ʱ
संबोधित	s ə m b oː d̪ʱ ɪ t̪
संभव	s ə̃ m bʱ ə ʋ
संभावना	s ə m bʱ ɑː ʋ n ɑː
संभोग	s ə m bʱ oː ɡ
संयंत्र	s ə̃ j ə n t̪ ɾ
संयम	s ə̃ j ə m
संयुक्त	s ə̃ j ʊ k t̪
संयोग	s ə̃ j oː ɡ
संयोजक	s ə̃ j oː d͡ʒ ə k
संरक्षण	s ə n ɾ ə k ʃ ə n
संरचनात्मक	s ə n ɾ ə t͡ʃ n ɑː t̪ m ə k
संवाददाता	s ə m ʋ ɑː d̪ d̪ ɑː t̪ ɑː
संवेदना	s ə̃ m ʋ eː d̪ n̪ aː
संवैधानिक	s ə m ʋ ɛː d̪ʱ ɑː n ɪ k
संशोधन	s ə n ʃ oː d̪ʱ ə n
संशोधित	s ə n ʃ oː d̪ʱ ɪ t̪
संसदीय	s ə n s ə d̪ iː j
संसाधन	s ə n s ɑː d̪ʱ ə n
संसार	s ə n s ɑː ɾ
संस्कृत	s ə n s k ɾ ɪ t̪
संस्थान	s ə n s t̪ʰ ɑː n
संहिता	s ə n ɦ ɪ t̪ ɑː
सकता	s ə k t̪ ɑː
सकल	s ə k ə l
सक्रिय	s ə k ɾ ɪ j
सक्षम	s ə k ʃ ə m
सगाई	s ə ɡ ɑː iː
सघन	s ə ɡʱ ə n
सचमुच	s ə t͡ʃ m ʊ t͡ʃ
सज़ा	s ə z ɑː
सजावट	s ə d͡ʒ ɑː ʋ ə ʈ
सजावटी	s ə d͡ʒ ɑː ʋ ʈ iː
सज्जन	s ə d͡ʒ d͡ʒ ə n
सज्जा	s ə d͡ʒ d͡ʒ ɑː
सटीक	s ə ʈ iː k
सड़क	s ə ɽ ə k
सतह	s ə t̪ əʱ
सत्तर	s ə t̪ t̪ ə ɾ
सत्तारूढ़	s ə t̪ t̪ ɑː ɾ uː ɽʱ
सत्य	s ə t̪ j
सत्याग्रह	s ə t̪ j ɑː ɡ ɾ əʱ
सत्यापन	s ə t̪ j ɑː p ə n
सत्रह	s ə t̪ ɾ əʱ
सदन	s ə d̪ ə n
सदाबहार	s ə d̪ ɑː b ə ɦ ɑː ɾ
सदैव	s ə d̪ ɛː ʋ
सद्भावना	s ə d̪ bʱ ɑː ʋ n ɑː
सनसनी	s ə n s ə n iː
सन्	s ə n
सन्नाटा	s ə n n ɑː ʈ ɑː
सप्ताह	s ə p t̪ ɑːʱ
सप्ताहांत	s ə p t̪ ɑː ɦ ɑː n t̪
सफ़र	s ə f ə ɾ
सफ़ेद	s ə f eː d̪
सबब	s ə b ə b
सबूत	s ə b uː t̪
सभा	s ə bʱ ɑː
सम	s ə m
समकालीन	s ə m k ɑː l iː n
समक्ष	s ə m ə k ʃ
समझना	s ə m ə d͡ʒʱ n ɑː
समझाना	s ə m d͡ʒʱ ɑː n ɑː
समझौता	s ə m d͡ʒʱ ɔː t̪ ɑː
समतल	s ə m t̪ ə l
समन्वय	s ə m ə n ʋ ə j
समय	s ə m ə j
समयानुसार	s ə m j ɑː n ʊ s ɑː ɾ
समर्थ	s ə m ə ɾ t̪ʰ
समर्थक	s ə m ə ɾ t̪ʰ ə k
समर्थन	s ə m ə ɾ t̪ʰ ə n
समर्पण	s ə m ə ɾ p ə n
समाचार	s ə m ɑː t͡ʃ ɑː ɾ
समाज	s ə m ɑː d͡ʒ
समाजवाद	s ə m ɑː d͡ʒ ʋ ɑː d̪
समाधान	s ə m ɑː d̪ʱ ɑː n
समाधि	s ə m ɑː d̪ʱ iː
समापन	s ə m ɑː p ə n
समायोजन	s ə m ɑː j oː d͡ʒ ə n
समावेश	s ə m ɑː ʋ eː ʃ
समिट	s ə m ɪ ʈ
समिति	s ə m ɪ t̪ iː
समीक्षा	s ə m iː k ʃ ɑː
समीप	s ə m iː p
समीर	s ə m iː ɾ
समेटना	s ə m eː ʈ n ɑː
समेत	s ə m eː t̪
सम्पादक	s ə m p ɑː d̪ ə k
सम्बन्धी	s ə m b ə n d̪ʱ iː
सम्मति	s ə m m ə t̪ iː
सम्मिश्रण	s ə m m ɪ ʃ ɾ ə n
सम्मेलन	s ə m m eː l ə n
सम्राट	s ə m ɾ ɑː ʈ
सर	s ə ɾ
सरपंच	s ə ɾ p ə ɲ t͡ʃ
सरल	s ə ɾ ə l
सरसों	s ə ɾ s õː
सरहद	s ə ɾ ɦ ə d̪
सराबोर	s ə ɾ ɑː b oː ɾ
सराय	s ə ɾ ɑː j
सराहना	s ə ɾ ɑːʱ n ɑː
सरीसृप	s ə ɾ iː s ɾ ɪ p
सरेआम	s ə ɾ eː ɑː m
सर्किल	s ə ɾ k ɪ l
सर्प	s ə ɾ p
सर्ब	s ə ɾ b
सर्बिया	s ə ɾ b iː j ɑː
सर्वत्र	s ə ɾ ʋ ə t̪ ɾ
सर्वदलीय	s ə ɾ ʋ d̪ ə l iː j
सर्वसम्मति	s ə ɾ ʋ s ə m m ə t̪ iː
सर्वाधिक	s ə ɾ ʋ ɑː d̪ʱ ɪ k
सर्विस	s ə ɾ ʋ ɪ s
सर्वेक्षण	s ə ɾ ʋ eː k ʃ ə n
सर्वोच्च	s ə ɾ ʋ oː t͡ʃ t͡ʃ
सर्वोदय	s ə ɾ ʋ oː d̪ ə j
सर्वोपरि	s ə ɾ ʋ oː p ə ɾ iː
सलाम	s ə l ɑː m
सलामत	s ə l ɑː m ə t̪
सलामी	s ə l ɑː m iː
सलाह	s ə l ɑːʱ
सलाहकार	s ə l ɑːʱ k ɑː ɾ
सलीम	s ə l iː m
सल्तनत	s ə l t̪ ə n ə t̪
सवर्ण	s ə ʋ ə ɾ n
सवाल	s ə ʋ ɑː l
सवेरे	s ə ʋ eː ɾ eː
सशक्तिकरण	s ə ʃ ə k t̪ ɪ k ə ɾ ə n
सशस्त्र	s ə ʃ ə s t̪ ɾ
ससुर	s ə s ʊ ɾ
ससुराल	s ə s ʊ ɾ ɑː l
सस्ता	s ə s t̪ ɑː
सहकर्मी	s ɛːʱ k ə ɾ m iː
सहकारी	s ɛːʱ k ɑː ɾ iː
सहज	s ɛ ɦ ɛ d͡ʒ
सहना	s ɛːʱ n ɑː
सहमत	s ɛːʱ m ə t̪
सहयोग	s əʱ j oː ɡ
सहयोगी	s əʱ j oː ɡ iː
सहरी	s ɛːʱ ɾ iː
सहसंयोजक	s əʱ s ə̃ j oː d͡ʒ ə k
सहायक	s ə ɦ ɑː j ə k
सही	s ə ɦ iː
साँस	s ɑ̃ː s
सांख्यिकी	s ɑː ŋ kʰ j ɪ k iː
सांप	s ɑ̃ː p
सांप्रदायिकता	s ɑː m p ɾ ə d̪ ɑː j ɪ k t̪ ɑː
सांसद	s ɑː n s ə d̪
सांस्कृतिक	s ɑː n s k ɾ ɪ t̪ ɪ k
साइप्रस	s ɑː ɪ p ɾ ə s
साक्षात्कार	s ɑː k ʃ ɑː t̪ k ɑː ɾ
साख	s ɑː kʰ
साजन	s ɑː d͡ʒ ə n
साज़िश	s ɑː z ɪ ʃ
साझा	s ɑː d͡ʒʱ ɑː
साझेदार	s ɑː d͡ʒʱ eː d̪ ɑː ɾ
साझेदारी	s ɑː d͡ʒʱ eː d̪ ɑː ɾ iː
साठ	s ɑː ʈʰ
साड़ी	s ɑː ɽ iː
साढ़े	s ɑː ɽʱ eː
सात	s ɑː t̪
सातवां	s ɑː t̪ ʋ ɑ̃ː
सातवाहन	s ɑː t̪ ʋ ɑː ɦ ə n
सादगी	s ɑː d̪ ə ɡ iː
सादा	s ɑː d̪ ɑː
साधन	s ɑː d̪ʱ ə n
साध्वी	s ɑː d̪ʱ ʋ iː
सानी	s ɑː n iː
साप्ताहिक	s ɑː p t̪ ɑː ɦ ɪ k
साफ़	s ɑː f
साबित	s ɑː b ɪ t̪
सामग्री	s ɑː m ə ɡ ɾ iː
सामने	s ɑː m n eː
सामर्थ्य	s ɑː m ə ɾ t̪ʰ j ə
सामान्यतः	s ɑː m ɑː n j ə t̪ əʰ
सामूहिक	s ɑː m uː ɦ ɪ k
साम्यवाद	s ɑː m j ə ʋ ɑː d̪
साम्राज्यवाद	s ɑː m ɾ ɑː d͡ʒ j ə ʋ ɑː d̪
साया	s ɑː j ɑː
सारंगी	s ɑː ɾ ə ŋ ɡ iː
सारा	s ɑː ɾ ɑː
सार्थक	s ɑː ɾ t̪ʰ ə k
साल	s ɑː l
सालभर	s ɑː l bʱ ə ɾ
सालाना	s ɑː l ɑː n ɑː
सास	s ɑː s
साहसी	s ɑːʱ s iː
साहित्य	s ɑː ɦ ɪ t̪ j
साहित्यिक	s ɑː ɦ ɪ t̪ j ɪ k
साहिल	s ɑː ɦ ɪ l
सिंगापुर	s ɪ ŋ ɡ ɑː p ʊ ɾ
सिंघ	s ɪ ŋ ɡʱ
सिंचाई	s ɪ ɲ t͡ʃ ɑː iː
सिंचित	s ɪ ɲ t͡ʃ ɪ t̪
सिंदूर	s ɪ n d̪ uː ɾ
सिंह	s ɪ nʱ
सिंहासन	s ɪ ŋ ɡʱ ɑː s ə n
सिकंदर	s ɪ k ə n d̪ ə ɾ
सिकंदराबाद	s ɪ k ə n d̪ ə ɾ ɑː b ɑː d̪
सिक्किम	s ɪ k k ɪ m
सिगार	s ɪ ɡ ɑː ɾ
सिचुआन	s ɪ t͡ʃ ʊ ɑː n
सितारा	s ɪ t̪ ɑː ɾ ɑː
सिद्धांत	s ɪ d̪ d̪ʱ ɑː n t̪
सिनेमा	s ɪ n eː m ɑː
सिनेमाघर	s ɪ n eː m ɑː ɡʱ ə ɾ
सिफ़ारिश	s ɪ f ɑː ɾ ɪ ʃ
सिया	s iː j ɑː
सियालकोट	s iː j ɑː l k oː ʈ
सिरा	s ɪ ɾ ɑː
सी	s iː
सीट	s iː ʈ
सीधा	s iː d̪ʱ ɑː
सीना	s iː n ɑː
सीनेट	s iː n eː ʈ
सीनेटर	s iː n eː ʈ ə ɾ
सीमा	s iː m ɑː
सीमित	s iː m ɪ t̪
सीरिया	s iː ɾ iː j ɑː
सुंदर	s ʊ n d̪ ə ɾ
सुअर	s ʊ ə ɾ
सुई	s uː iː
सुकून	s ʊ k uː n
सुख	s ʊ kʰ
सुखमय	s ʊ kʰ m ə j
सुचारु	s ʊ t͡ʃ ɑː ɾ uː
सुझाव	s ʊ d͡ʒʱ ɑː ʋ
सुडौल	s ʊ ɖ ɔː l
सुथरा	s ʊ t̪ʰ ɾ ɑː
सुधार	s ʊ d̪ʱ ɑː ɾ
सुधारना	s ʊ d̪ʱ ɑː ɾ n ɑː
सुधारवादी	s ʊ d̪ʱ ɑː ɾ ʋ ɑː d̪ iː
सुनना	s ʊ n n ɑː
सुनसान	s ʊ n s ɑː n
सुनहरा	s ʊ n ɛːʱ ɾ ɑː
सुनाई	s ʊ n ɑː iː
सुनामी	s ʊ n ɑː m iː
सुनार	s ʊ n ɑː ɾ
सुन्नी	s ʊ n n iː
सुपुर्द	s ʊ p ʊ ɾ d̪
सुबोध	s ʊ b oː d̪ʱ
सुरंग	s ʊ ɾ ə ŋ ɡ
सुरक्षाबल	s ʊ ɾ ə k ʃ ɑː b ə l
सुलह	s ʊ l əʱ
सुलेमान	s ʊ l eː m ɑː n
सुस्ती	s ʊ s t̪ iː
सूअर	s uː ə ɾ
सूई	s uː iː
सूखा	s uː kʰ ɑː
सूचक	s uː t͡ʃ ə k
सूचना	s uː t͡ʃ n ɑː
सूचित	s uː t͡ʃ ɪ t̪
सूची	s uː t͡ʃ iː
सूजन	s uː d͡ʒ ə n
सूत	s uː t̪
सूत्र	s uː t̪ ɾ
सूद	s uː d̪
सूरज	s uː ɾ ə d͡ʒ
सूर्य	s uː ɾ j
सूर्यास्त	s uː ɾ j ɑː s t̪
सूर्योदय	s uː ɾ j oː d̪ ə j
सृजन	s ɾ ɪ d͡ʒ ə n
सृष्टि	s ɾ ɪ ʃ ʈ iː
से	s eː
सेठ	s eː ʈʰ
सेब	s eː b
सेल	s eː l
सेवक	s eː ʋ ə k
सेवा	s eː ʋ ɑː
सेवानिवृत्त	s eː ʋ ɑː n ɪ ʋ ɾ ɪ t̪ t̪
सेवानिवृत्ति	s eː ʋ ɑː n ɪ ʋ ɾ ɪ t̪ t̪ iː
सैकड़ा	s ɛː k ɽ ɑː
सैद्धांतिक	s ɛː d̪ d̪ʱ ɑː n t̪ ɪ k
सैन्य	s ɛː n j
सैर	s ɛː ɾ
सॉरी	s ɔː ɾ iː
सोची	s oː t͡ʃ iː
सोना	s oː n ɑː
सोमालिया	s oː m ɑː l iː j ɑː
सोमाली	s oː m ɑː l iː
सोवियत	s oː ʋ iː j ə t̪
सोशलिस्ट	s oː ʃ l ɪ s ʈ
सौंपना	s ɔː m p n ɑː
सौदा	s ɔː d̪ ɑː
सौदागर	s ɔː d̪ ɑː ɡ ə ɾ
सौभाग्य	s ɔː bʱ ɑː ɡ j
सौर	s ɔː ɾ
सौराष्ट्र	s ɔː ɾ ɑː ʃ ʈ ɾ
स्कर्ट	s k ə ɾ ʈ
स्कूल	s k uː l
स्कूली	s k uː l iː
स्टेटस	s ʈ eː ʈ ə s
स्टेडियम	s ʈ eː ɖ iː j ə m
स्तंभ	s t̪ ə m bʱ
स्तुति	s t̪ ʊ t̪ iː
स्त्री	s t̪ ɾ iː
स्त्रोत	s t̪ ɾ oː t̪
स्थल	s t̪ʰ ə l
स्थाई	s t̪ʰ ɑː iː
स्थानांतरण	s t̪ʰ ɑː n ɑː n t̪ ɾ ə n
स्थिर	s t̪ʰ ɪ ɾ
स्नातकोत्तर	s n ɑː t̪ ə k oː t̪ t̪ ə ɾ
स्नायु	s n ɑː j uː
स्पर्श	s p ə ɾ ʃ
स्पेन	s p eː n
स्मरण	s m ə ɾ ə n
स्मार्टफ़ोन	s m ɑː ɾ ʈ f oː n
स्मृति	s m ɾ ɪ t̪ iː
स्लोवाकिया	s l oː ʋ ɑː k iː j ɑː
स्वचालित	s ʋ ə t͡ʃ ɑː l ɪ t̪
स्वजन	s ʋ ə d͡ʒ ə n
स्वदेशी	s ʋ ə d̪ eː ʃ iː
स्वभाव	s w ə bʱ ɑː ʋ
स्वर	s ʋ ə ɾ
स्वाद	s ʋ ɑː d̪
स्वामित्व	s ʋ ɑː m ɪ t̪ ʋ
स्वायत्तता	s ʋ ɑː j ə t̪ t̪ t̪ ɑː
स्वार्थी	s ʋ ɑː ɾ t̪ʰ iː
स्वास्थ्य	s ʋ ɑː s t̪ʰ j ə
स्वीकारना	s ʋ iː k ɑː ɾ n ɑː
स्वीकृति	s ʋ iː k ɾ ɪ t̪ iː
हंगरी	ɦ ə ŋ ɡ ɾ iː
हंगामा	ɦ ə ŋ ɡ ɑː m ɑː
हंस	ɦ ə n s
हज़ार	ɦ ə z ɑː ɾ
हटना	ɦ ə ʈ n ɑː
हटाना	ɦ ə ʈ ɑː n ɑː
हड़ताल	ɦ ə ɽ t̪ ɑː l
हड़ताली	ɦ ə ɽ t̪ ɑː l iː
हड़बड़ी	ɦ ə ɽ b ə ɽ iː
हड्डी	ɦ ə ɖ ɖ iː
हत्यारा	ɦ ə t̪ j ɑː ɾ ɑː
हथियार	ɦ ə t̪ʰ iː j ɑː ɾ
हथियारबंद	ɦ ə t̪ʰ iː j ɑː ɾ b ə n d̪
हथेली	ɦ ə t̪ʰ eː l iː
हबीब	ɦ ə b iː b
हम	ɦ ə m
हमको	ɦ ə m k oː
हमला	ɦ ə m l ɑː
हमलावर	ɦ ə m l ɑː ʋ ə ɾ
हमाम	ɦ ə m ɑː m
हमारा	ɦ ə m ɑː ɾ ɑː
हमें	ɦ ə m ẽ
हरकत	ɦ ə ɾ k ə t̪
हरगिज़	ɦ ə ɾ ɡ ɪ z
हरा	ɦ ə ɾ ɑː
हराना	ɦ ə ɾ ɑː n ɑː
हराम	ɦ ə ɾ ɑː m
हरामी	ɦ ə ɾ ɑː m iː
हरिजन	ɦ ə ɾ ɪ d͡ʒ ə n
हरित	ɦ ə ɾ ɪ t̪
हरियाणा	ɦ ə ɾ iː j ɑː n ɑː
हरियाली	ɦ ə ɾ iː j ɑː l iː
हरेक	ɦ ə ɾ eː k
हर्ज	ɦ ə ɾ d͡ʒ
हर्ष	ɦ ə ɾ ʃ
हल	ɦ ə l
हलचल	ɦ ə l t͡ʃ ə l
हलफ़नामा	ɦ ə l ə f n ɑː m ɑː
हल्का	ɦ ə l̪ k ɑː
हवलदार	ɦ ə ʋ ə l d̪ ɑː ɾ
हवा	ɦ ə ʋ ɑː
हवाला	ɦ ə ʋ ɑː l ɑː
हवालात	ɦ ə ʋ ɑː l ɑː t̪
हवेली	ɦ ə ʋ eː l iː
हसीन	ɦ ə s iː n
हसीना	ɦ ə s iː n ɑː
हस्तक्षेप	ɦ ə s t̪ ə k ʃ eː p
हस्ताक्षर	ɦ ə s t̪ ɑː k ʃ ə ɾ
हाँ	ɦ ɑ̃ː
हाइड्रोजन	ɦ ɑː ɪ ɖ ɾ oː d͡ʒ ə n
हाउस	ɦ ɑː ʊ s
हाज़िर	ɦ ɑː z ɪ ɾ
हाथ	ɦ ɑː t̪ʰ
हाथी	ɦ ɑː t̪ʰ iː
हादसा	ɦ ɑː d̪ s ɑː
हामी	ɦ ɑː m iː
हाय	ɦ ɑː j
हार	ɦ ɑː ɾ
हाल	ɦ ɑː l
हालत	ɦ ɑː l ə t̪
हालात	ɦ ɑː l ɑː t̪
हिंद	ɦ ɪ n d̪
हिंदी	ɦ ɪ n d̪ iː
हिंदुत्व	ɦ ɪ n d̪ ʊ t̪ ʋ
हिंसा	ɦ ɪ n s ɑː
हिंसात्मक	ɦ ɪ n s ɑː t̪ m ə k
हित	ɦ ɪ t̪
हिन्दुस्तानी	ɦ ɪ n d̪ ʊ s t̪ ɑː n iː
हिमस्खलन	ɦ ɪ m s kʰ ə l ə n
हिरन	ɦ ɪ ɾ ə n
हिसाब	ɦ ɪ s ɑː b
हिस्सेदार	ɦ ɪ s s eː d̪ ɑː ɾ
हिस्सेदारी	ɦ ɪ s s eː d̪ ɑː ɾ iː
ही	ɦ iː
हीटर	ɦ iː ʈ ə ɾ
हीर	ɦ iː ɾ
हीरो	ɦ iː ɾ oː
हुआ	ɦ ʊ ɑː
हुस्न	ɦ ʊ s n
हूँ	ɦ ũː
हूबहू	ɦ uː b ə ɦ uː
हृदयाघात	ɦ ɾ ɪ d̪ ə j ɑː ɡʱ ɑː t̪
हे	ɦ eː
हेक्टेयर	ɦ eː k ʈ eː j ə ɾ
हेतु	ɦ eː t̪ uː
हेलीकॉप्टर	ɦ eː l iː k ɔː p ʈ ə ɾ
है	ɦ ɛː
हैं	ɦ ɛ̃ː
हैती	ɦ ɛː t̪ iː
हैदर	ɦ ɛː d̪ ə ɾ
हैदराबाद	ɦ ɛː d̪ ɾ ɑː b ɑː d̪
हैरत	ɦ ɛː ɾ ə t̪
हैरान	ɦ ɛː ɾ ɑː n
हैवान	ɦ ɛː ʋ ɑː n
हैवानियत	ɦ ɛː ʋ ɑː n iː j ə t̪
हैसियत	ɦ ɛː s iː j ə t̪
हॉकी	ɦ ɔː k iː
हॉलैंड	ɦ ɔː l ɛː n ɖ
होंठ	ɦ oː n ʈʰ
होकर	ɦ oː k ə ɾ
होगा	ɦ oː ɡ ɑː
होनहार	ɦ oː n ɦ ɑː ɾ
होना	ɦ oː n ɑː
होशंगाबाद	ɦ oː ʃ ə ŋ ɡ ɑː b ɑː d̪
होशियार	ɦ oː ʃ iː j ɑː ɾ
हौसला	ɦ ɔː s l ɑː
